year	mon	day	hr	min	sec	deciday	distance(5Km_bin)	depth(m)	U_Vel(cm/s)	V_Vel(cm/s)	Latitude	Longitude(360deg)	Longitude	U_Tide(cm/s)	V_Tide(cm/s)	U_Vel-U_Tide(cm/s)	V_Vel-V_Tide(cm/s)	Vol_Transport_V_Raw(m^3/s)	Vol_Transport_V_Raw-V_Tide(m^3/s)
2018	7	25	17	47	1	206	5.0	-16.0	-6.02	-13.35	53.24	304.36	-55.64	-0.540	1.630	-5.480	-14.980	-5340.000	-5992.000
2018	7	25	17	47	1	206	5.0	-24.0	-3.12	-13.88	53.24	304.36	-55.64	-0.540	1.630	-2.580	-15.510	-5552.000	-6204.000
2018	7	25	17	47	1	206	5.0	-32.0	-2.70	-11.70	53.24	304.36	-55.64	-0.540	1.630	-2.160	-13.330	-4680.000	-5332.000
2018	7	25	17	47	1	206	5.0	-40.0	-2.47	-7.73	53.24	304.36	-55.64	-0.540	1.630	-1.930	-9.360	-3092.000	-3744.000
2018	7	25	17	47	1	206	5.0	-48.0	-4.75	-6.69	53.24	304.36	-55.64	-0.540	1.630	-4.210	-8.320	-2676.000	-3328.000
2018	7	25	17	47	1	206	5.0	-56.0	-3.15	-5.04	53.25	304.37	-55.63	-0.610	1.540	-2.540	-6.580	-2016.000	-2632.000
2018	7	25	17	47	1	206	5.0	-64.0	-5.19	-1.05	53.26	304.39	-55.61	-0.750	1.470	-4.440	-2.520	-420.000	-1008.000
2018	7	25	17	47	1	206	5.0	-72.0	-5.42	1.90	53.26	304.39	-55.61	-0.750	1.470	-4.670	0.430	760.000	172.000
2018	7	25	17	47	1	206	5.0	-80.0	-5.52	0.75	53.26	304.39	-55.61	-0.750	1.470	-4.770	-0.720	300.000	-288.000
2018	7	25	17	47	1	206	5.0	-88.0	-3.16	3.42	53.26	304.39	-55.61	-0.750	1.470	-2.410	1.950	1368.000	780.000
2018	7	25	17	47	1	206	5.0	-96.0	-4.43	0.45	53.26	304.40	-55.60	-0.820	1.440	-3.610	-0.990	180.000	-396.000
2018	7	25	17	47	1	206	5.0	-104.0	-4.43	-0.20	53.26	304.40	-55.60	-0.820	1.440	-3.610	-1.640	-80.000	-656.000
2018	7	25	17	47	1	206	5.0	-112.0	-2.03	12.40	53.26	304.40	-55.60	-0.820	1.440	-1.210	10.960	4960.000	4384.000
2018	7	25	18	13	1	206	10.0	-16.0	-10.33	-22.47	53.28	304.43	-55.57	-1.270	2.190	-9.060	-24.660	-8988.000	-9864.000
2018	7	25	18	13	1	206	10.0	-24.0	-2.22	-7.13	53.28	304.43	-55.57	-1.270	2.190	-0.950	-9.320	-2852.000	-3728.000
2018	7	25	18	13	1	206	10.0	-32.0	-2.92	-13.17	53.28	304.43	-55.57	-1.270	2.190	-1.650	-15.360	-5268.000	-6144.000
2018	7	25	18	13	1	206	10.0	-40.0	-1.07	-11.75	53.28	304.43	-55.57	-1.270	2.190	0.200	-13.940	-4700.000	-5576.000
2018	7	25	18	13	1	206	10.0	-48.0	-3.13	-10.07	53.28	304.43	-55.57	-1.270	2.190	-1.860	-12.260	-4028.000	-4904.000
2018	7	25	18	13	1	206	10.0	-56.0	-6.05	-7.15	53.28	304.43	-55.57	-1.270	2.190	-4.780	-9.340	-2860.000	-3736.000
2018	7	25	18	13	1	206	10.0	-64.0	-8.12	-9.95	53.28	304.43	-55.57	-1.270	2.190	-6.850	-12.140	-3980.000	-4856.000
2018	7	25	18	13	1	206	10.0	-72.0	-2.62	-5.87	53.28	304.43	-55.57	-1.270	2.190	-1.350	-8.060	-2348.000	-3224.000
2018	7	25	18	13	1	206	10.0	-80.0	-1.03	-0.42	53.28	304.43	-55.57	-1.270	2.190	0.240	-2.610	-168.000	-1044.000
2018	7	25	18	13	1	206	10.0	-88.0	-2.10	-2.77	53.28	304.43	-55.57	-1.270	2.190	-0.830	-4.960	-1108.000	-1984.000
2018	7	25	18	13	1	206	10.0	-96.0	0.87	-0.02	53.28	304.43	-55.57	-1.270	2.190	2.140	-2.210	-8.000	-884.000
2018	7	25	18	13	1	206	10.0	-104.0	2.13	4.97	53.28	304.43	-55.57	-1.270	2.190	3.400	2.780	1988.000	1112.000
2018	7	25	18	13	1	206	10.0	-112.0	-2.37	6.57	53.28	304.43	-55.57	-1.270	2.190	-1.100	4.380	2628.000	1752.000
2018	7	25	18	13	1	206	10.0	-120.0	3.58	7.14	53.28	304.43	-55.57	-1.270	2.190	4.850	4.950	2856.000	1980.000
2018	7	25	18	13	1	206	10.0	-128.0	-5.92	0.34	53.27	304.41	-55.59	-1.070	2.160	-4.850	-1.820	136.000	-728.000
2018	7	25	18	13	1	206	10.0	-136.0	-4.72	5.84	53.27	304.41	-55.59	-1.070	2.160	-3.650	3.680	2336.000	1472.000
2018	7	25	18	13	1	206	10.0	-144.0	2.63	19.94	53.27	304.41	-55.59	-1.070	2.160	3.700	17.780	7976.000	7112.000
2018	7	25	18	13	1	206	10.0	-152.0	-0.87	16.49	53.27	304.41	-55.59	-1.070	2.160	0.200	14.330	6596.000	5732.000
2018	7	25	18	53	1	206	15.0	-16.0	-4.53	-29.93	53.33	304.49	-55.51	-2.730	3.460	-1.800	-33.390	-11972.000	-13356.000
2018	7	25	18	53	1	206	15.0	-24.0	-3.62	-23.88	53.33	304.49	-55.51	-2.730	3.460	-0.890	-27.340	-9552.000	-10936.000
2018	7	25	18	53	1	206	15.0	-32.0	-3.40	-19.47	53.33	304.49	-55.51	-2.730	3.460	-0.670	-22.930	-7788.000	-9172.000
2018	7	25	18	53	1	206	15.0	-40.0	-4.46	-19.81	53.33	304.49	-55.51	-2.730	3.460	-1.730	-23.270	-7924.000	-9308.000
2018	7	25	18	53	1	206	15.0	-48.0	-3.96	-17.92	53.33	304.49	-55.51	-2.730	3.460	-1.230	-21.380	-7168.000	-8552.000
2018	7	25	18	53	1	206	15.0	-56.0	-3.64	-19.82	53.33	304.49	-55.51	-2.730	3.460	-0.910	-23.280	-7928.000	-9312.000
2018	7	25	18	53	1	206	15.0	-64.0	-5.29	-13.62	53.33	304.49	-55.51	-2.730	3.460	-2.560	-17.080	-5448.000	-6832.000
2018	7	25	18	53	1	206	15.0	-72.0	-5.47	-7.88	53.33	304.49	-55.51	-2.730	3.460	-2.740	-11.340	-3152.000	-4536.000
2018	7	25	18	53	1	206	15.0	-80.0	-3.80	-4.26	53.33	304.49	-55.51	-2.730	3.460	-1.070	-7.720	-1704.000	-3088.000
2018	7	25	18	53	1	206	15.0	-88.0	-2.32	-4.47	53.33	304.49	-55.51	-2.730	3.460	0.410	-7.930	-1788.000	-3172.000
