year	mon	day	hr	min	sec	deciday	distance(5Km_bin)	depth(m)	U_Vel(cm/s)	V_Vel(cm/s)	Latitude	Longitude(360deg)	Longitude	U_Tide(cm/s)	V_Tide(cm/s)	U_Vel-U_Tide(cm/s)	V_Vel-V_Tide(cm/s)	Vol_Transport_V_Raw(m^3/s)	Vol_Transport_V_Raw-V_Tide(m^3/s)
2012	11	21	14	55	1	326	5.0	-40.0	5.44	-12.59	53.23	304.36	-55.64	-0.440	3.210	5.880	-15.800	-5036.000	-6320.000
2012	11	21	14	55	1	326	5.0	-48.0	1.96	-7.11	53.23	304.35	-55.65	-0.450	3.250	2.410	-10.360	-2844.000	-4144.000
2012	11	21	14	55	1	326	5.0	-56.0	5.74	-10.51	53.25	304.38	-55.62	-0.530	3.060	6.270	-13.570	-4204.000	-5428.000
2012	11	21	14	55	1	326	5.0	-64.0	13.37	-0.27	53.26	304.40	-55.60	-0.700	3.060	14.070	-3.330	-108.000	-1332.000
2012	11	21	14	55	1	326	5.0	-72.0	14.57	5.23	53.26	304.40	-55.60	-0.700	3.060	15.270	2.170	2092.000	868.000
2012	11	21	15	13	1	326	10.0	-56.0	-8.00	-20.72	53.29	304.44	-55.56	-1.070	3.100	-6.930	-23.820	-8288.000	-9528.000
2012	11	21	15	13	1	326	10.0	-64.0	3.54	-9.91	53.28	304.43	-55.57	-0.910	2.990	4.450	-12.900	-3964.000	-5160.000
2012	11	21	15	13	1	326	10.0	-72.0	3.79	-3.26	53.28	304.43	-55.57	-0.910	2.990	4.700	-6.250	-1304.000	-2500.000
2012	11	21	15	13	1	326	10.0	-80.0	4.79	3.94	53.28	304.43	-55.57	-0.910	2.990	5.700	0.950	1576.000	380.000
2012	11	21	15	13	1	326	10.0	-88.0	6.80	-1.62	53.29	304.44	-55.56	-1.070	3.100	7.870	-4.720	-648.000	-1888.000
2012	11	21	15	13	1	326	10.0	-96.0	6.40	10.68	53.29	304.44	-55.56	-1.070	3.100	7.470	7.580	4272.000	3032.000
2012	11	21	15	13	1	326	10.0	-104.0	4.70	9.88	53.29	304.44	-55.56	-1.070	3.100	5.770	6.780	3952.000	2712.000
2012	11	21	16	28	1	326	15.0	-32.0	14.29	-38.34	53.33	304.50	-55.50	-0.850	1.950	15.140	-40.290	-15336.000	-16116.000
2012	11	21	16	28	1	326	15.0	-40.0	14.20	-36.30	53.33	304.50	-55.50	-0.850	1.950	15.050	-38.250	-14520.000	-15300.000
2012	11	21	16	28	1	326	15.0	-48.0	13.67	-33.88	53.33	304.50	-55.50	-0.850	1.950	14.520	-35.830	-13552.000	-14332.000
2012	11	21	16	28	1	326	15.0	-56.0	14.62	-25.48	53.33	304.50	-55.50	-0.850	1.950	15.470	-27.430	-10192.000	-10972.000
2012	11	21	16	28	1	326	15.0	-64.0	9.44	-15.41	53.33	304.50	-55.50	-0.850	1.950	10.290	-17.360	-6164.000	-6944.000
2012	11	21	16	28	1	326	15.0	-72.0	3.35	-9.73	53.33	304.50	-55.50	-0.850	1.950	4.200	-11.680	-3892.000	-4672.000
2012	11	21	16	28	1	326	15.0	-80.0	-0.76	-9.39	53.33	304.50	-55.50	-0.850	1.950	0.090	-11.340	-3756.000	-4536.000
2012	11	21	16	28	1	326	15.0	-88.0	-3.45	-9.97	53.33	304.50	-55.50	-0.850	1.950	-2.600	-11.920	-3988.000	-4768.000
2012	11	21	16	28	1	326	15.0	-96.0	-8.90	-7.86	53.33	304.50	-55.50	-0.850	1.950	-8.050	-9.810	-3144.000	-3924.000
2012	11	21	16	28	1	326	15.0	-104.0	-11.56	-10.83	53.33	304.50	-55.50	-0.850	1.950	-10.710	-12.780	-4332.000	-5112.000
2012	11	21	16	28	1	326	15.0	-112.0	-10.38	-9.56	53.32	304.50	-55.50	-0.790	1.860	-9.590	-11.420	-3824.000	-4568.000
2012	11	21	16	28	1	326	15.0	-120.0	0.16	5.51	53.30	304.46	-55.54	-0.580	1.740	0.740	3.770	2204.000	1508.000
2012	11	21	16	28	1	326	15.0	-128.0	-7.54	13.51	53.30	304.46	-55.54	-0.580	1.740	-6.960	11.770	5404.000	4708.000
2012	11	21	17	32	1	326	20.0	-48.0	22.20	-25.80	53.34	304.53	-55.47	0.260	-0.030	21.940	-25.770	-10320.000	-10308.000
2012	11	21	17	32	1	326	20.0	-56.0	12.20	-23.70	53.34	304.53	-55.47	0.260	-0.030	11.940	-23.670	-9480.000	-9468.000
2012	11	21	17	32	1	326	20.0	-64.0	8.91	-18.87	53.33	304.52	-55.48	0.220	-0.020	8.690	-18.850	-7548.000	-7540.000
2012	11	21	17	32	1	326	20.0	-72.0	5.15	-16.85	53.34	304.53	-55.47	0.260	-0.030	4.890	-16.820	-6740.000	-6728.000
2012	11	21	17	32	1	326	20.0	-80.0	-3.80	-17.35	53.34	304.53	-55.47	0.260	-0.030	-4.060	-17.320	-6940.000	-6928.000
2012	11	21	17	32	1	326	20.0	-88.0	-3.45	-10.70	53.34	304.53	-55.47	0.260	-0.030	-3.710	-10.670	-4280.000	-4268.000
2012	11	21	17	32	1	326	20.0	-96.0	-8.55	-8.10	53.34	304.53	-55.47	0.260	-0.030	-8.810	-8.070	-3240.000	-3228.000
2012	11	21	17	32	1	326	20.0	-104.0	-7.69	-13.87	53.33	304.52	-55.48	0.220	-0.020	-7.910	-13.850	-5548.000	-5540.000
2012	11	21	18	15	1	326	30.0	-32.0	-11.03	-17.46	53.41	304.64	-55.36	1.350	-1.430	-12.380	-16.030	-6984.000	-6412.000
2012	11	21	18	15	1	326	30.0	-40.0	-8.15	-25.42	53.41	304.64	-55.36	1.350	-1.430	-9.500	-23.990	-10168.000	-9596.000
2012	11	21	18	15	1	326	30.0	-48.0	-8.10	-22.00	53.41	304.64	-55.36	1.350	-1.430	-9.450	-20.570	-8800.000	-8228.000
2012	11	21	18	15	1	326	30.0	-56.0	-7.93	-26.80	53.41	304.64	-55.36	1.350	-1.430	-9.280	-25.370	-10720.000	-10148.000
2012	11	21	18	15	1	326	30.0	-64.0	-9.44	-23.42	53.41	304.64	-55.36	1.350	-1.430	-10.790	-21.990	-9368.000	-8796.000
2012	11	21	18	15	1	326	30.0	-72.0	-8.92	-21.45	53.41	304.64	-55.36	1.350	-1.430	-10.270	-20.020	-8580.000	-8008.000
2012	11	21	18	15	1	326	30.0	-80.0	-7.30	-22.15	53.41	304.64	-55.36	1.350	-1.430	-8.650	-20.720	-8860.000	-8288.000
2012	11	21	18	15	1	326	30.0	-88.0	-9.86	-20.14	53.41	304.64	-55.36	1.350	-1.430	-11.210	-18.710	-8056.000	-7484.000
2012	11	21	18	15	1	326	30.0	-96.0	-11.06	-24.00	53.41	304.64	-55.36	1.350	-1.430	-12.410	-22.570	-9600.000	-9028.000
2012	11	21	18	15	1	326	30.0	-104.0	-8.01	-26.46	53.41	304.64	-55.36	1.350	-1.430	-9.360	-25.030	-10584.000	-10012.000
2012	11	21	18	15	1	326	30.0	-112.0	-4.72	-28.18	53.41	304.64	-55.36	1.350	-1.430	-6.070	-26.750	-11272.000	-10700.000
2012	11	21	18	15	1	326	30.0	-120.0	-2.91	-26.92	53.41	304.64	-55.36	1.350	-1.430	-4.260	-25.490	-10768.000	-10196.000
2012	11	21	18	15	1	326	30.0	-128.0	-4.64	-27.76	53.41	304.64	-55.36	1.350	-1.430	-5.990	-26.330	-11104.000	-10532.000
2012	11	21	18	15	1	326	30.0	-136.0	-4.36	-27.10	53.41	304.64	-55.36	1.350	-1.430	-5.710	-25.670	-10840.000	-10268.000
2012	11	21	19	0	1	326	40.0	-64.0	22.69	-13.72	53.48	304.76	-55.24	2.330	-2.770	20.360	-10.950	-5488.000	-4380.000
2012	11	21	19	0	1	326	40.0	-88.0	13.29	-23.61	53.48	304.76	-55.24	2.330	-2.770	10.960	-20.840	-9444.000	-8336.000
2012	11	21	19	0	1	326	40.0	-112.0	10.69	-28.61	53.48	304.76	-55.24	2.330	-2.770	8.360	-25.840	-11444.000	-10336.000
2012	11	21	20	5	1	326	50.0	-32.0	28.38	-6.20	53.54	304.86	-55.14	2.940	-3.580	25.440	-2.620	-2480.000	-1048.000
2012	11	21	20	5	1	326	50.0	-40.0	20.35	-8.93	53.54	304.87	-55.13	2.980	-3.580	17.370	-5.350	-3572.000	-2140.000
2012	11	21	20	5	1	326	50.0	-48.0	18.23	-5.44	53.54	304.87	-55.13	2.980	-3.580	15.250	-1.860	-2176.000	-744.000
2012	11	21	20	5	1	326	50.0	-56.0	20.35	-11.31	53.54	304.86	-55.14	2.940	-3.580	17.410	-7.730	-4524.000	-3092.000
2012	11	21	20	5	1	326	50.0	-64.0	18.61	-10.25	53.54	304.86	-55.14	2.940	-3.580	15.670	-6.670	-4100.000	-2668.000
2012	11	21	20	5	1	326	50.0	-72.0	12.27	-11.87	53.54	304.86	-55.14	2.940	-3.580	9.330	-8.290	-4748.000	-3316.000
2012	11	21	20	5	1	326	50.0	-80.0	13.06	-9.64	53.54	304.86	-55.14	2.940	-3.580	10.120	-6.060	-3856.000	-2424.000
2012	11	21	20	5	1	326	50.0	-88.0	13.68	-12.70	53.54	304.86	-55.14	2.940	-3.580	10.740	-9.120	-5080.000	-3648.000
2012	11	21	20	5	1	326	50.0	-96.0	8.66	-11.66	53.54	304.86	-55.14	2.940	-3.580	5.720	-8.080	-4664.000	-3232.000
2012	11	21	20	5	1	326	50.0	-104.0	9.75	-11.49	53.54	304.86	-55.14	2.940	-3.580	6.810	-7.910	-4596.000	-3164.000
2012	11	21	20	5	1	326	50.0	-112.0	8.34	-12.32	53.54	304.86	-55.14	2.940	-3.580	5.400	-8.740	-4928.000	-3496.000
2012	11	21	20	5	1	326	50.0	-120.0	8.54	-8.04	53.54	304.87	-55.13	2.980	-3.580	5.560	-4.460	-3216.000	-1784.000
2012	11	21	20	5	1	326	50.0	-128.0	10.11	-8.59	53.54	304.86	-55.14	2.940	-3.580	7.170	-5.010	-3436.000	-2004.000
2012	11	21	20	5	1	326	50.0	-136.0	7.86	-4.56	53.54	304.86	-55.14	2.940	-3.580	4.920	-0.980	-1824.000	-392.000
2012	11	21	20	5	1	326	50.0	-144.0	1.85	-1.54	53.54	304.86	-55.14	2.940	-3.580	-1.090	2.040	-616.000	816.000
2012	11	21	20	5	1	326	50.0	-152.0	3.75	-3.51	53.54	304.86	-55.14	2.940	-3.580	0.810	0.070	-1404.000	28.000
2012	11	21	20	5	1	326	50.0	-160.0	5.70	-6.99	53.54	304.86	-55.14	2.940	-3.580	2.760	-3.410	-2796.000	-1364.000
2012	11	21	20	5	1	326	50.0	-168.0	4.32	-8.23	53.54	304.87	-55.13	2.980	-3.580	1.340	-4.650	-3292.000	-1860.000
2012	11	21	20	5	1	326	50.0	-176.0	9.66	-8.64	53.54	304.88	-55.13	2.980	-3.580	6.680	-5.060	-3456.000	-2024.000
2012	11	21	20	56	1	326	55.0	-72.0	17.94	-5.66	53.57	304.91	-55.09	2.660	-3.470	15.280	-2.190	-2264.000	-876.000
2012	11	21	20	56	1	326	55.0	-80.0	25.14	-7.06	53.57	304.91	-55.09	2.660	-3.470	22.480	-3.590	-2824.000	-1436.000
2012	11	21	20	56	1	326	55.0	-88.0	10.04	-4.86	53.57	304.91	-55.09	2.660	-3.470	7.380	-1.390	-1944.000	-556.000
